"segmentid","street","direction","count_mm"
"29309","ST JOHNS PLACE","EB","1344"
"29329","GRAND AVENUE","SB","672"
"29404","FRANKLIN AVENUE","SB","672"
"29427","ST JOHNS PLACE","EB","1344"
"29487","QUINCY STREET","EB","1242"
"29521","ST JOHNS PLACE","EB","1344"
"29524","FRANKLIN AVENUE","SB","672"
"29531","ST JOHNS PLACE","EB","960"
"29538","FRANKLIN AVENUE","SB","1344"
"29548","FRANKLIN AVENUE","SB","864"
"29555","FULTON STREET","EB","864"
"29555","FULTON STREET","WB","864"
"29560","FRANKLIN AVENUE","SB","864"
"29588","FRANKLIN AVENUE","SB","380"
"29756","NEW YORK AVENUE","NB","864"
"29764","NEW YORK AVENUE","NB","864"
"29852","BROOKLYN AVENUE","SB","672"
"29887","MARCY AVENUE","NB","864"
"29890","JEFFERSON AVENUE","EB","672"
"29896","QUINCY STREET","EB","864"
"29940","PARK AVENUE","WB","1344"
"30187","PARK AVENUE","EB","1344"
"30191","PARK AVENUE","WB","1344"
"30278","CLINTON AVENUE","NB","672"
"30278","CLINTON AVENUE","SB","672"
"30280","WAVERLY AVENUE","SB","672"
"30310","PARK AVENUE","EB","864"
"30312","PARK AVENUE","WB","864"
"30314","PARK AVENUE","EB","1344"
"30319","PARK AVENUE","WB","1344"
"30430","SOUTH 5 STREET","EB","1634"
"30494","PARK AVENUE","WB","1344"
"30606","SOUTH 5 STREET","EB","1631"
"30611","SOUTH 4 STREET","WB","1633"
"30620","BERRY STREET","NB","1340"
"30761","MARCY AVENUE","SB","680"
"30768","SOUTH 3 STREET","EB","1627"
"30770","SOUTH 4 STREET","EB","1629"
"30775","ROEBLING STREET","SB","1627"
"30782","ROEBLING STREET","NB","386"
"30789","SOUTH 1 STREET","EB","383"
"30800","DRIGGS AVENUE","WB","864"
"30802","ROEBLING STREET","SB","385"
"30825","BEDFORD AVENUE","NB","672"
"30834","SPENCER STREET","SB","395"
"30837","DEKALB AVENUE","WB","762"
"30848","BEDFORD AVENUE","NB","672"
"31118","UNION AVENUE","NB","864"
"31118","UNION AVENUE","SB","864"
"31145","MEEKER AVENUE","WB","864"
"31157","LAFAYETTE AVENUE","EB","672"
"31294","LAFAYETTE AVENUE","EB","943"
"31332","THROOP AVENUE","SB","864"
"31373","BOERUM STREET","WB","672"
"31374","MANHATTAN AVENUE","NB","672"
"31401","MANHATTAN AVENUE","NB","672"
"31404","GRAND STREET","EB","672"
"31405","GRAHAM AVENUE","EB","864"
"31405","GRAHAM AVENUE","WB","864"
