"requestid","boro","yr","m","d","hh","mm","vol","segmentid","wktgeom","street","fromst","tost","direction"
"17976","Queens","2015","2","8","1","45","6","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","2","0","6","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","2","0","20","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","2","15","9","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","2","15","26","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","2","30","16","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","2","30","2","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","2","45","4","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","2","45","24","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","3","0","5","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","3","0","16","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","3","15","12","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","3","15","8","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","3","30","11","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","3","30","4","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","3","45","15","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","3","45","6","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","4","0","25","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","4","0","5","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","4","15","16","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","4","15","6","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","4","30","15","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","4","30","2","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","4","45","27","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","4","45","8","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","5","0","7","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","5","0","8","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","5","15","12","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","5","15","19","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","5","30","16","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","5","30","4","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","5","45","24","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","5","45","16","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","6","0","16","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","6","0","6","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","6","15","19","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","6","15","21","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","6","30","17","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","6","30","26","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","6","45","29","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","6","45","21","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","7","0","23","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","7","0","20","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","7","15","46","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","7","15","19","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","7","30","12","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","7","30","35","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","7","45","15","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","7","45","57","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","8","0","22","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","8","0","85","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","8","15","89","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","8","15","22","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","8","30","15","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","8","30","77","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","8","45","35","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","8","45","77","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","9","0","55","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","9","0","27","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","9","15","20","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","9","15","83","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","9","30","22","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","9","30","52","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","9","45","72","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","9","45","26","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","10","0","44","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","10","0","61","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","10","15","34","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","10","15","62","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","10","30","51","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","10","30","67","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","10","45","79","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","10","45","25","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","11","0","35","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","11","0","74","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","11","15","30","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","11","15","90","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","11","30","78","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","11","30","39","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
"17976","Queens","2015","2","8","11","45","76","156485","POINT (1015934.7231410058 218639.46263506316)","23 AVENUE","83 Street","85 Street","EB"
"17976","Queens","2015","2","8","11","45","21","148877","POINT (1015922.4098093489 218665.56483070957)","23 AVENUE","Dead End","85 Street","WB"
