"aadt_year","station_id","county","signing","state_route","county_road","road_name","beginning_description","ending_description","municipality","length","fc","ramp","bridge","rr_xing","oneway","count"
"2019","11115","Bronx",,,,"BRONXDALE AVE","E TREMONT AVE","SACKET AVE","Bronx","10","14",,,,,"10626"
"2019","11116","Bronx",,,,"BRONXDALE AVE","SACKET AVE","BRONX PARK E","Bronx","96","14",,,,,"10982"
"2019","11117","Bronx",,,,"BROWN PL","E 132ND ST","E 134TH ST","Bronx","11","19",,,,,"4166"
"2019","11118","Bronx",,,,"BRUCKNER BLVD","THIRD AVE","WILLIS AVE","Bronx","34","14",,"Y",,,"24439"
"2019","11119","Bronx",,,,"BRUCKNER BLVD","WILLIS AVE","E 135TH ST","Bronx","53","14",,,,,"43300"
"2019","11120","Bronx",,,,"BRUCKNER BLVD","E 135TH ST","E 149TH ST","Bronx","86","14",,"Y",,,"6442"
"2019","11121","Bronx",,,,"BRUCKNER BLVD","E 149TH ST","LEGGETT AVE","Bronx","33","14",,,,"Y","47978"
"2019","11122","Bronx",,,,"BRUCKNER BLVD","LEGGETT AVE","TIFFANY ST","Bronx","42","14",,,,"Y","27029"
"2019","11123","Bronx",,,,"BRUCKNER BLVD","TIFFANY ST","SHERIDAN EXPWY","Bronx","46","14",,,,"Y","37137"
"2019","11124","Bronx",,,,"BRUCKNER BLVD S","WESTCHESTER AVE","JARVIS AVE","Bronx","74","14",,,,"Y","8167"
"2019","11125","Bronx",,,,"BRUCKNER BLVD E","SHERIDAN EXPY","BRONX RIVER PKWY","Bronx","76","14",,,,"Y","29066"
"2019","11126","Bronx",,,,"BRUCKNER BLVD E","BRONX RIVER PKWY","WHITE PLAINS RD","Bronx","70","14",,,,"Y","6126"
"2019","11127","Bronx",,,,"BURR AVE","PELHAM PKWY SOUTH","WESTCHESTER AVE","Bronx","18","17",,,,"Y","2800"
"2019","11128","Bronx",,,,"CASTLE HILL AVE","I278","WESTCHESTER AVE","Bronx","51","14",,"Y",,,"15701"
"2019","11129","Bronx",,,,"CASTLE HILL AVE","WESTCHESTER AVE","E TREMONT AVE","Bronx","58","14",,,,,"10299"
"2019","11130","Bronx",,,,"CONNER ST","PEARTREE AVE","IN95","Bronx","18","14",,"Y",,,"12547"
"2019","11131","Bronx",,,,"CONNER ST","IN95","BOSTON RD","Bronx","17","14",,,,,"25034"
"2019","11132","Bronx",,,,"CO-OP CITY BLVD","BARTOW AVE","PEARTREE AVE","Bronx","78","14",,,,,"12632"
"2019","11133","Bronx",,,,"CO-OP CITY BLVD","PEARTREE AVE","BAYCHESTER AVE","Bronx","52","14",,,,,"9410"
"2019","11134","Bronx",,,,"CROTONA AVE","BOSTON RD","IN95","Bronx","75","14",,,,,"9695"
"2019","11135","Bronx",,,,"CROTONA AVE","IN95","DR THEODORE KAZINIROFF BLVD","Bronx","126","14",,"Y",,,"11225"
"2019","11136","Bronx",,,,"DR KAZIMIROFF B","E FORDHAM RD","MOSHOLU PKWY","Bronx","94","14",,"Y",,,"21902"
"2019","11137","Bronx",,,,"E 135TH ST","WILLIS AVE","LINCOLN AVE","Bronx","26","17",,,,"Y","22834"
"2019","11138","Bronx",,,,"E 138TH ST","NEW YORK CO / L","IN87","Bronx","8","14",,"Y",,,"47767"
"2019","11139","Bronx",,,,"E 138TH ST","IN87","THIRD AVE","Bronx","27","14",,"Y",,,"17498"
"2019","11140","Bronx",,,,"E 138TH ST","THIRD AVE","WILLIS AVE","Bronx","27","14",,,,,"10911"
"2019","11141","Bronx",,,,"E 138TH ST","WILLIS AVE","BRUCKNER BLVD","Bronx","63","14",,,,,"12873"
"2019","11142","Bronx",,,,"E 151ST ST","RIVER AVE","GRD CONCRS/BLV","Bronx","22","19",,,,,"3056"
"2019","11143","Bronx",,,,"E 153RD ST","SB ENT 87I","RIVER AVE","Bronx","5","19",,,,,"8409"
"2019","11144","Bronx",,,,"E 157TH ST","MAJOR DEEGAN SERVICE RD NB","E 153RD ST","Bronx","7","19",,,,,"4906"
"2019","11145","Bronx",,,,"E 161ST ST","JEROME AVE","MACOMBS DMBRG","Bronx","9","14",,,,,"10573"
"2019","11146","Bronx",,,,"E 161ST ST","MACOMBS DMBRG","RIVER AVE","Bronx","16","14",,,,,"14537"
"2019","11147","Bronx",,,,"E 161ST ST","RIVER AVE","GRD CONCOURSE","Bronx","20","14",,,,,"14249"
"2019","11148","Bronx",,,,"E 161ST ST","GRD CONCOURSE","MELROSE AVE","Bronx","49","14",,"Y",,,"22218"
"2019","11149","Bronx",,,,"E 163RD ST","WASHINGTON AVE","REV J POLITE","Bronx","64","14",,,,,"29627"
"2019","11150","Bronx",,,,"E 163RD ST","REV J POLITE","BRUCKNER BLVD","Bronx","49","14",,,,,"12606"
"2019","11151","Bronx",,,,"E 233RD ST","JEROME AVE","WEBSTER AVE","Bronx","88","14",,,,,"35577"
"2019","11152","Bronx",,,,"E 233RD ST","WHITE PLAINS RD","BAYCHESTER AVE","Bronx","88","14",,,,,"16256"
"2019","11153","Bronx",,,,"E 233RD ST","BAYCHESTER AVE","BOSTON RD","Bronx","97","14",,,,,"12745"
"2019","11154","Bronx",,,,"E 241ST ST","WHITE PLAINS RD","BAYCHESTER AVE","Bronx","23","14",,,,,"14275"
"2019","11155","Bronx",,,,"E FORDHAM RD","JEROME AVE","GRAND CONCOURSE","Bronx","21","14",,,,,"28906"
"2019","11156","Bronx",,,,"E FORDHAM RD","GRAND CONCOURSE","E KINGSBRIDGE RD","Bronx","20","14",,"Y",,,"30230"
"2019","11157","Bronx",,,,"E FORDHAM RD","E KINGSBRIDGE RD","WEBSTER AVE","Bronx","11","14",,,,,"29864"
"2019","11158","Bronx",,,,"E GUN HILL RD","JEROME AVE","BRONX RIVER PKWY","Bronx","67","14",,"Y",,,"19094"
"2019","11159","Bronx",,,,"E GUN HILL RD","BRONX RIVER PKWY","BOSTON RD","Bronx","93","14",,"Y",,,"17475"
"2019","11160","Bronx",,,,"E GUN HILL RD","BOSTON RD","EASTCHESTER RD","Bronx","68","14",,"Y",,,"12010"
"2019","11161","Bronx",,,,"E GUN HILL RD","EASTCHESTER RD","IN95","Bronx","92","14",,"Y",,,"15859"
"2019","11162","Bronx",,,,"E KINGSBRDG RD","GRAND CONCOURSE","E FORDHAM RD","Bronx","27","14",,,,,"10310"
"2019","11162","Bronx",,,,"E KINGSBRDG RD","JEROME AVE","GRAND CONCOURSE","Bronx","18","14",,,,,"10310"
"2019","11162","Bronx",,,,"E KINGSBRDG RD","GRAND CONCOURSE","E FORDHAM RD","Bronx","27","14",,,,,"10310"
"2019","11162","Bronx",,,,"E KINGSBRDG RD","JEROME AVE","GRAND CONCOURSE","Bronx","18","14",,,,,"10310"
"2019","11163","Bronx",,,,"E TREMONT AVE","JEROME AVE","WEBSTER AVE","Bronx","53","14",,,,,"19340"
"2019","11164","Bronx",,,,"E TREMONT AVE","WEBSTER AVE","SOUTHERN BLVD","Bronx","89","14",,"Y",,,"14229"
"2019","11165","Bronx",,,,"E TREMONT AVE","SOUTHERN BLVD","BRONX RIVER PKWY","Bronx","73","14",,"Y",,,"18989"
"2019","11166","Bronx",,,,"E TREMONT AVE","BRONX RIVER PKWY","WHITE PLAINS RD","Bronx","45","14",,,,,"24182"
